2/23/13,"RSI Home Products Manufacturing, Inc., Lincolnton, NC  28092",Worker killed after being caught in saw machine at cabinetry facility.,Fatality
2/22/13,"Hagel Metal Fabrication Inc., East Peoria, IL",Worker operating laser machine struck and killed by metal debris.,Fatality
2/22/13,"Saddai Inc., Perth Amboy, NJ 08861",Employee was struck and killed by vehicle while making a delivery.,Fatality
2/21/13,"Best Logging, Rock Castle, WV 25245",Employee killed by a falling tree during tree felling operations.,Fatality
2/21/13,"Desert Cab, Inc., Las Vegas, NV 89109","Taxi driver was killed after being struck from behind by another vehicle, causing the car to catch fire.",Fatality
2/21/13,"Donald L. Shirey Lumber Company Inc, Rimersburg, PA 16248",Worker struck and killed by falling tree.,Fatality
2/21/13,"Guichard Operation Company LLC, Rayne, LA 70578",Employee died after falling from a building.,Fatality
2/20/13,"Cactus Wellhead, Bossier City, LA 71111",Employee killed by falling  equipment during unloading operations.,Fatality
2/20/13,"Slone Builders, Inc., White Lake, MI 48386",Worker was killed when nail from a nail gun struck him in the eye.,Fatality
2/20/13,"Tex-Lee Operating Company, Giddings, TX 78942",Oil rig worker killed when a counter-weight fell 65 feet on him during a rig shutdown.,Fatality
2/19/13,"Day Zimmer NPS, Perry, OH 44081",Employee died from head injuries after falling off scaffolding.,Fatality
2/19/13,"JJ's Restaurant, Kansas City, MO 64112",Employee killed in a natural gas explosion.,Fatality
2/18/13,"Cat Spec Ltd., Ardmore, OK 73402",Employee died while working in a confined space at a crude oil refinery.,Fatality
2/18/13,"Summit Roofing, LLC, Howell, MI 48855",Worker died after falling 25 feet from roof while installing insulation.,Fatality
2/17/13,"Hydro-Marine Construction Inc., South Amboy, NJ 08879",Employee crushed and killed by excavator bucket.,Fatality
2/16/13,"G&H Steel, New Orleans, LA 70119",Employee died after falling 18 feet from a roof support beam.,Fatality
2/15/13,"Central Environmental Services, Flemington, WV 26181",Employee died after an explosion occurred while he was checking levels on a 400 barrel brine water holding tank.,Fatality
2/15/13,"Coba Landscaping & Construction, Belleville, NJ 07109",Employee struck and killed by falling tree limb while trimming trees.,Fatality
2/15/13,"ERG Aerospace Corporation, Oakland, CA  94608",Worker was struck in head and killed by piece of metal while operating lathe. ,Fatality
2/14/13,"Wade C. Bowler, Aylett, VA 23009",Worker struck and killed by an excavator arm while trimming trees.,Fatality
2/13/13,"Life Time Brands, Garden City, NY 11530",Employee died after falling in a parking lot.,Fatality
2/13/13,"Professional Service Industries Inc., Belle Glade, FL 33430",Employee died after being thrown from and run over by bulldozer.,Fatality
2/13/13,"SCC Cabinets Inc., Wellington, FL 33414",Worker died after falling 30 feet while unloading tools from forklift.,Fatality
2/11/13,"Burns Paving Company Inc., Oklahoma City, OK 73105",Employee died after being struck by a vehicle moving in reverse on the worksite.,Fatality
2/11/13,"HSA Consulting Group Inc., Pensacola, FL 32503",Employee struck and killed by vehicle while conducting a traffic study.,Fatality
2/9/13,"Air Liquide USA, La Porte, TX 77572",Employee died in a facility explosion.,Fatality
2/9/13,"Ironrock Resources Inc. Pampa, TX 79065",Employee died when he fell while cutting away a conveyor that was attached to a building.,Fatality
2/8/13,"YJF Company dba New Star Design, Honolulu, HI 96813",Worker died from injuries sustained after falling off a two-stage scaffold.,Fatality
2/7/13,"Riverside Police Department, Riverside, CA 92522",A patrol officer was killed in the line of duty after being ambushed by gunfire.,Fatality
2/6/13,"Bodine Services of Decature Inc., Decature, IL 62526",Employee died after being crushed between dislodged material he was cleaning and an I-beam.,Fatality
2/6/13,"General Iron Industries Inc., Chicago, IL 60616",Welder died from injuries sustained when a steel wall fell on him.,Fatality
2/6/13,"Mac Corporation, Indianapolis, IN 46219",Worker was crushed to death when the trash compactor he was repairing was energized.,Fatality
2/6/13,"Mass Transportation Authority, Mt Morris, MI 48458",Worker died after being struck by the rear tires of a rolling bus.,Fatality
2/6/13,"Quality Drywall, Inc., Lewisville, NC  27023",Worker installing sheetrock was killed after falling from ladder.,Fatality
2/5/13,"BWP Hardwoods, Brookville, PA 15825",Employee died after being pinned between his machinery.,Fatality
2/5/13,"Sweyolakan Farms, Ithaca, NY 14850",Dairy farm worker crushed and killed by auger.,Fatality
2/5/13,"Thiems Construction Company Inc., Maryville, IL 62062",Employee was electrocuted when a downed electrical powerline came into contact with the concrete truck he was operating.,Fatality
2/4/13,"Midwest Construction Co Inc., Burlington, KS 66839",Employee died when the crane he was operating tipped over and crushed him.,Fatality
2/1/13,"Buffalo Sweeping Compound Inc., Buffalo, NY 14210",Employee died after being crushed by the payload arm of a powered industrial truck.,Fatality
2/1/13,"LT Disposal Inc., Leicester, NY 14481",Employee died after being caught between two trucks.,Fatality
2/1/13,"NYCPD - Bkyn North Narcotics, Brooklyn, NY 11207","Worker died from heart attack, determined to be work-related, during a narcotics operation.  ",Fatality
1/31/13,"Heller Casing Service Inc., Watford City, ND 58854",Employee died after being crushed by the equipment he was operating.,Fatality
1/31/13,"Southern Minnesota Beets Cooperative Renville, MN 56284",Worker was fatally struck by a pay loader while walking from one building to another.,Fatality
1/29/13,"Container Solutions Inc., Mantachie, MS 38855",Employee died after being crushed between a semi-trailer and a loading dock.,Fatality
1/29/13,"Farmers Cooperative Company, Talmage, NE 68448",Employee died after being struck by a grain truck.,Fatality
1/28/13,"TK Holdings Inc., San Antonio, TX 78251",Employee died after being crushed inside a die press.,Fatality
1/27/13,"Square K Lumber LLC., Smoot, WV 24977",Employee died after being crushed between the frame and the bed of a dump truck.,Fatality
1/26/13,"SCR Construction Inc., Richmond, TX 77469",Employee died when an empty chemical drum he was cutting exploded and struck his head.,Fatality
1/25/13,"Oscar Adelar, Mission Viejo, CA 92691",Worker died after being hit by several cars while handing out flyers.,Fatality
1/25/13,"Quality Services LLC, Memphis, TN 38106",Worker died after being struck by a tractor trailer truck while changing a tire.,Fatality
1/25/13,"Shores Construction Inc., Horseshoe Beach, FL 32648",Employee died after falling 135 feet from a water tower.,Fatality
1/24/13,"Abacus Building Innovations Inc., Astoria, NY 11103",Employee died after falling 15 feet onto a metal floor joist and concrete foundation.,Fatality
1/24/13,"Grosse Ile Township, Grosse Ile, MI 48138",Worker died after becoming trapped in a trench during excavation operations.,Fatality
1/24/13,"H.B. Gills Inc., Cutler, CA 93615",Worker died after being crushed between a tractor tire and the ground after falling from the vehicle.,Fatality
1/24/13,"Miracle Method of Portland LLC, Portland, OR 97220",Worker succumbed to injuries sustained from a chemical exposure while resurfacing a bathtub in a small bathroom with little air ventilation.,Fatality
1/24/13,"Moss Transportation Services, Belle Glade, FL 33430",Employee died after being crushed between a semi-truck and a loading dock.,Fatality
1/23/13,"C.J. Mabardy Inc., Cambridge, MA 02138",Employee died from injuries sustained from being crushed by the bulldozer he was working on.,Fatality
1/23/13,"John Miller Construction, Coldwater, MI 49036",Worker died after falling off a roof.,Fatality
1/22/13,"Eaton Corporation, Pittsburgh, PA 15213",Employee electrocuted while performing upgrades to a campus electrical distribution switchgear.,Fatality
1/22/13,"Resolute FP US Inc., Catawba, SC 29704",One worker died and two others were hospitalized after cleaning a seven-story high tank. After seeing a brown liquid and vapor flowing into tank two of the workers were able to climb out  but the third was trapped 14 feet down in the tank and died from chemical exposure.,Fatality
1/22/13,"Stanco Metal Products Inc., Williamston, SC 29697",Worker died after being caught in a stamping machine.,Fatality
1/21/13,"Bliss Envirnmental Services Inc., Utica, NY 13502",Employee died after being struck by a garbage truck.,Fatality
1/21/13,"Gao's Construction Corp., Port Jefferson, NY 11777",Employee died from injuries sustained after falling from a ladder and being struck by falling metal awning.,Fatality
1/21/13,"LPC & D Inc., Rio Grande, PR 00745",One worker was killed and two were hospitalized when a crane overturned and the basket fell 40 feet during maintenance operations on a highway bridge.,Fatality
1/21/13,"Owego Vill Fire Department, Newark Valley, NY  13811",Worker died after falling through floor and into basement during fire fighting operations. ,Fatality
1/20/13,"Rea Magnet Wire, Fort Wayne, IN 46803",Worker succumbed to injuries sustained after falling from a seven-foot platform.,Fatality
1/19/13,"Haliburton Inc., Watford City, ND 58854",Worker was killed after being struck by a steel valve under 4100 psi of pressure during fracking operations.,Fatality
1/18/13,"Quality Plus Gas Station, Sylva, NC 28779",Gas station worker died from brain damage sustained after being overcome by gas fumes.,Fatality
1/18/13,"Reynolda House Inc., Winston-Salem, NC 27106",Worker for an art museum died from sepsis after an object penetrated his foot.,Fatality
1/17/13,"County of Orangeburg Sawyerdale Collection, Orangeburg, SC 29112",Worker fell to his death after being hit by a compactor door.,Fatality
1/17/13,"Hatchett Roustabout Inc., Lamesa, TX 79331",Worker died from exposure to hydrogen sulfide after stepping into 5-foot-deep hole containing oil slush.,Fatality
1/17/13,"Newt Davis LLC, Sardis, MS 38666",Employee died from injuries sustained from severe burns after coming in contact with a wood burning heater.,Fatality
1/17/13,"Turner Bean & Grain Inc., Turner, MI 48765",Worker died while removing railroad timber when the tractor he was using rolled on top of him.,Fatality
1/16/13,"Gustafson Chipping Company Inc., Orlando, FL 32808",Employee died after tripping and falling onto a marble mold.,Fatality
1/16/13,"Reliance Steel & Aluminum Co., Atlanta, GA 30318",Employee died after falling from the back of a tractor trailer being unloaded.,Fatality
1/16/13,"Witt Plumbing Inc., Hastings, NE 68901",Worker died after being engulfed in a collapsing trench.,Fatality
1/15/13,"Flowers Baking Company, Bardstown, KY 40004",Worker died from injuries sustained after being pinned between a trove and an elevator bar.,Fatality
1/14/13,"Kaba Ilco Corporation, Forsyth, NC 27009","Worker crushed and killed when a cart carrying 2,000 pounds of zinc tipped over on top of him.",Fatality
1/14/13,"Omni Energy and Seismic Services LLC, Fairview, WV 26570",Worker died after being ejected from a track buggy that fell down a hill.,Fatality
1/12/13,"Jim Corridon Electric Inc., Vienna, Virginia 22182",Worker succumbed to injuries after falling off of a 12-foot step ladder while installing an un-energized electrical cable.,Fatality
1/11/13,"C & L Lockers, Connell, WA 99326",Worker operating an off-road vehicle died after being struck from behind by another vehicle.,Fatality
1/11/13,"C&L Lockers, Connell, WA 99326",Worker died while riding in an off-road vehicle when the vehicle was struck from behind by another car on the highway.,Fatality
1/11/13,"Compos Roofing, Oklahoma, OK 73134",Employee died after falling 19 feet while working on an apartment rooftop.,Fatality
1/11/13,"Luis Colorado, Newark, NJ 07105",Employee died after being crushed between a truck chassis and a container wall inside a parking garage.,Fatality
1/11/13,"Xceed Resources, El Paso, TX 79905",Employee was struck and killed by a hit-and-run driver while working along an interstate access road.,Fatality
1/10/13,"Ace Hardware, Vallejo, CA 94589",Worker died when a big rig struck another vehicle and fell off a ramp.,Fatality
1/10/13,"H. William Paving LLC, Fairfield, NJ 07004",Employee died after being caught between a truck's dump body and frame.,Fatality
1/10/13,"Mesa Wells Service LP, Jal, NM 88252",Worker died when brakes on the blocks failed and the tubing he was pulling from a well struck and knocked him from a platform.,Fatality
1/9/13,"Pessoa Construction Company, Perryville, MD",Two construction workers struck and killed by motor vehicles while setting up a road closure. ,Fatality
1/9/13,"RJ Taylor-Wyatt LLC, Bridgeland, UT 84012 ",Worker struck and killed by 40-foot pipe as it was being placed in a bending machine.,Fatality
1/8/13,"Johnston Trucking, Memphis, TN 38113",Worker succumbed to injuries sustained after being struck by a front-end loader while waiting for truck to be loaded.,Fatality
1/8/13,"Keeco LLC, Hayward, CA 94544",Worker's head was crushed between a loading dock and a trailer while backing into a dock.,Fatality
1/7/13,"Lopez Landscaping, Greenwich, CT 06830",Worker killed when struck by a fallen tree trunk.,Fatality
1/7/13,"Regal Entertainment Group, Burlington, NJ 08016",Employeed died from injuries sustained after falling from a 6 foot ladder.,Fatality
1/7/13,"Smith Pipe & Supply LP, Abilene, TX 79606",Employee died after being crushed between a 500-pound barrel-tank and a tractor trailer during loading.,Fatality
1/5/13,"Ben's Gardening Services, Torrance, CA 90501",Worker electrocuted while trimming pine tree branches at 25 feet when his pruning shears contacted an overhead electrical cable.,Fatality
1/5/13,"Terex Services North America, Blytheville, AR 72315",Employee died after falling 30 feet from an overhead crane while performing maintenance work.,Fatality
1/4/13,"American Cable & Rigging Supply Inc., Asheville, NC 28801",Worker died after falling eight feet when the core drilling machine he was using hit rebar.,Fatality
1/4/13,"Latshaw Drilling & Exploration LLC, Reydon OK 73660",Worker died after falling 30 feet while removing equipment during drilling operations.,Fatality
1/4/13,"Tom Lane Contractors, Hebron, KY 41048",Worker died after falling 20 feet while working on the steps of a second floor landing.,Fatality
1/4/13,"WS Consulting & Construction Inc., Mount Vernon, WA 98273",Worker died after falling 80 feet from a cellular tower.,Fatality
1/3/13,"Landrum Construction, Cincinnati, OH 45011",Employee died after falling 10 feet through the floor while performing residential framing operations.,Fatality
1/2/13,"Universal Cable Systems Inc., White Castle, LA 70788",Cable service worker died after falling from a ladder.,Fatality
12/31/12,"Strickland Tree Service, Phenix City, AL 36870",Employee was fatally crushed while performing maintenance on a dump truck.,Fatality
12/31/12,"W & O Construction Company Inc., Knoxville, TN 37919",Worker electrocuted after trailer's load line contacted overhead powerline.,Fatality
