
1/29/2014,"NTS Incorporated of Texas, Wheeler, TX 79096",Four workers hospitalized for burns after a natural gas pipeline explosion.,Catastrophe
1/29/2014,"VCA Buckeahd, NE Atlanta, GA 30324",Worker died after being dragged by dog he was walking.,Fatality
1/28/2014,"Compressed Air Systems LLC, Grand Prairie, TX 75052",Worker struck and killed when an air compressor exploded during maintenance.,Fatality
1/28/2014,"Derr & Isbell Construction LLC, Waco, TX 76704",Worker in a hydraulic boom lift died when it fell off a barge.,Fatality
1/27/2014,"Dan and Maes Dairy, Westford, NY 13488",Worker killed when his clothes caught in a corn chopper and pulled him into the machine.,Fatality
1/27/2014,"Holy Cross Energy, Silt, CO 81652",Worker inspecting power lines was killed in a helicopter crash.  ,Fatality
1/27/2014,"IL State Toll Highway Authority,  Aurora, IL  60507",One worker was killed and another hospitalized after being struck by a motor vehicle while providing roadside assistance.,Fatality
1/26/2014,"Cheek Enterprises Inc., Senatobia, MS 38668",Employer died in fall from ladder.,Fatality
1/25/2014,"Jose Luiz Martinez, Gainesville, GA 30506",Employer died in fall from elevated bucket while removing a tree.,Fatality
1/25/2014,"Snapper Generator & Starter Repair, Atlanta, GA 30310",Worker installing a transmission underneath vehicle was crushed when the car fell onto him. ,Fatality
1/24/2014,"Arborcare Tree Experts, Inc., Lutherville, MD  21093",Worker was struck and killed by falling tree branch.,Fatality
1/24/2014,"GPS Plumbing, Bethesda, MD  20814",Worker struck and killed while working in a trench.,Fatality
1/24/2014,"Mario Martinez dba Martinez Fence Company, Nashville, TN 37210",Worker struck and killed by a bundle of pipes that fell from truck.,Fatality
1/24/2014,"Mark Trabucco, Los Olivos, CA 93441",Worker killed when bulldozer overturned.,Fatality
1/24/2014,"Offshore Rentals Ltd, Golden Meadow, LA 70357",Worker struck and killed by a forklift. ,Fatality
1/24/2014,"Paragon Industries Inc., Sapulpa, OK 74066",Worker died after falling off and being run over by loader.  ,Fatality
1/24/2014,"Phoenix Refrigeration, Inc., Grand Rapids, MI 49534",Worker killed in fall from ladder.,Fatality
1/24/2014,"Quick Transport of Arkansas Inc., Knoxville, AR 72845",Worker struck and killed when trailer hatch exploded during defrosting with propane torch.,Fatality
1/24/2014,"R.V.H. Trucking, LLC, Mentone, IN 46539",Worker killed when an air dryer exploded.,Fatality
